pageno	times	org1	pdept	bgtyy	org	item	srcid	workid	obj	seq	sexual	sextitle	sexamt	sexlamt	stdcd	una1	cqty1	una2	cqty2	una3	cqty3	una4	cqty4	pqty	prc	preamt	amt	lawamt	lamt	amt1	amt2	note	udept	ocd1	ocd2	mcd	acd	kort	eno	pmnote	bystd	statcd	bybase	newitem	sno	hticode	pticode	mticode	scode	man	kpirmk	sysdat	usno
1-1-29	0	01101		106	01101	1	110101004		0220	007			0	0		人	170	年	1		0		0	170.00×1.00	2000	340000	340000	340000	340000	0	0	員工文康活動經費。									2	257	122	0	0032				0004			1050516	BGT
1-1-29	0	01101		106	01101	1	110101004		0220	009			0	0		人	43	年	1		0		0	43.00×1.00	2000	86000	86000	86000	86000	0	0	臨時工文康活動經費。									2	257	122	0	0033				0004			1050516	BGT
1-1-29	0	01101		106	01101	1	110101004		0220	010			0	0		年	1		0		0		0		860000	860000	860000	860000	860000	0	0	員工參加市內、市外各項球類競賽及活動等經費。									0	257	122	0	0034							1050513	BGT
1-1-29	0	01101		106	01101	1	110101004		0220	011			0	0		小組	20		0		0		0		16000	320000	320000	320000	320000	0	0	倡導正當休閒活動各小組鐘點費(活動費)。									0	257	122	0	0035							1050513	BGT
2-1-43	0	02101		106	02101	1	120101007		0220	003			0	0	2203	人	207	年	1		0		0	207.00×1.00	2000	414000	414000	426000	426000	0	0	文康活動費。　　　　								減列預算員額6人	1	257	122	0	0197					王錦搖		1050510	BGT
2-2-29	0	02102		106	02102	1	120101004		0220	002			0	0		人	137	年	1		0		0	137.00×1.00	2000	274000	274000	274000	274000	0	0	員工文康活動經費(本中心員工137人)。									0	257	122	0	0039					賴秀芳		1050501	BGT
2-3-26	0	02103		106	02103	1	120101004		0220	006			0	0	2203	人	157	年	1		0		0	157.00×1.00	2000	314000	314000	314000	314000	0	0	員工文康活動費。									1	257	122	0	0064				0004	林承澤		1050505	BGT
2-4-19	0	02104		106	02104	1	120101004		0220	004			0	0	2203	人	93	年	1		0		0	93.00×1.00	2000	186000	186000	188000	188000	0	0	員工文康活動費。									1	257	122	0	0052				0004	呂艾蓉		1050412	BGT
2-5-20	0	02105		106	02105	1	120101004		0220	002			0	0	2203	人	63	年	1		0		0	63.00×1.00	2000	126000	126000	132000	132000	0	0	文康活動費(含本處員工63人)。									1	257	122	0	0053				0004	楊雅評		1050415	BGT
2-6-29	0	02106		106	02106	1	210101004		0220	002			0	0	2203	人	74	年	1		0		0	74.00×1.00	2000	148000	148000	152000	152000	0	0	文康活動費(本處員工74人)。								覈實減列。	1	257	122	0	0076				0004	張淑娟		1050309	BGT
