pageno	times	org1	pdept	bgtyy	org	item	srcid	workid	obj	seq	sexual	sextitle	sexamt	sexlamt	stdcd	una1	cqty1	una2	cqty2	una3	cqty3	una4	cqty4	pqty	prc	preamt	amt	lawamt	lamt	amt1	amt2	note	udept	ocd1	ocd2	mcd	acd	kort	eno	pmnote	bystd	statcd	bybase	newitem	sno	hticode	pticode	mticode	scode	man	kpirmk	sysdat	usno
2-9-13	1	02112		105	02112	1	133902001		0220	001			0	0		年	1		0		0		0	1.00	200000	0	200000	0	0	0	0	辦理補助中低收入戶原住民建購、修繕住宅行政費。									0	272	122	0	0001	0	0	0		全淑娟		1050510	BGT
2-9-13	1	02112		105	02112	1	133902001		0406	001			0	0		年	1		0		0		0	1.00	500000	0	500000	0	0	0	0	補助中低收入戶原住民建購、修繕住宅。									0	419	122	0	0002	0	0	0		全淑娟		1050510	BGT
2-9-13	1	02112		105	02112	1	133902002		0215	001			0	0		年	1		0		0		0	1.00	10000	0	10000	0	0	0	0	辦理105年度原住民學生課後扶植計畫行政費。										249	122	0	0003	0	0	0		洪周慈慧		1050510	BGT
2-9-13	1	02112		105	02112	1	133902002		0401	001			0	0		年	1		0		0		0	1.00	570000	0	570000	0	0	0	0	補助辦理105年度原住民學生課後扶植計畫。										402	122	0	0004					洪周慈慧		1050510	BGT
2-9-13	1	02112		105	02112	1	133902003		0220	001			0	0		年	1		0		0		0	1.00	770000	0	770000	0	0	0	0	辦理沉浸式族語學習體驗、教會族語扎根及族語復振計畫等相關經費。									0	272	122	0	0005					劉凱勛		1050510	BGT
2-9-14	1	02112		105	02112	1	133902006		0220	001			0	0		年	1		0		0		0	1.00	30000	0	30000	0	0	0	0	辦理承租國宅暨生活品質促進計畫行政費。										272	122	0	0006	0	0	0		全淑娟		1050510	BGT
2-9-14	1	02112		105	02112	1	133902006		0232	001			0	0		年	1		0		0		0	1.00	570000	0	570000	0	0	0	0	原住民住宅輔導工作臨時人員1名酬金。										292	122	0	0007					全淑娟		1050510	BGT
2-9-14	1	02112		105	02112	1	133902007		0214	001			0	0	1501	節	937.5		0		0		0	937.50	800	0	750000	0	0	0	0	原住民族部落大學講師鐘點費。									1	242	122	0	0008					卓孝忠Dakis Nawi		1050510	BGT
2-9-14	1	02112		105	02112	1	133902007		0232	001			0	0		節	1		0		0		0	1.00	600000	0	600000	0	0	0	0	原住民族部落大學專任人員2名酬金。									0	292	122	0	0009	0	0	0		卓孝忠Dakis Nawi		1050510	BGT
2-9-14	1	02112		105	02112	1	133902008		0220	001			0	0		年	1		0		0		0	1.00	256000	0	256000	0	0	0	0	增進原住民風險管理能力，辦理法律諮詢服務。									0	259	122	0	0010	0	0	0		全淑娟		1050510	BGT
2-9-15	1	02112		105	02112	1	133902008		0220	002			0	0		年	1		0		0		0	1.00	50000	0	50000	0	0	0	0	辦理原住民銀髮族健康講座及保健服務。									0	272	122	0	0011	0	0	0		洪周慈慧		1050510	BGT
2-9-15	1	02112		105	02112	1	133902008		0220	003			0	0		年	1		0		0		0	1.00	136000	0	136000	0	0	0	0	輔導原住民參加職業技能訓練與就業服務，提升專業技能及就業競爭力。									0	259	122	0	0012	0	0	0		史春香		1050510	BGT
2-9-15	1	02112		105	02112	1	133902008		0220	004			0	0		年	1		0		0		0	1.00	463000	0	463000	0	0	0	0	扶植原住民拓展經濟事業、推動原住民專案貸款及舉辦各項貸款宣導、金融知識教育或理財宣導活動。									0	272	122	0	0013	0	0	0		史春香		1050510	BGT
2-9-15	1	02112		105	02112	1	133902008		0220	005			0	0		年	1		0		0		0	1.00	540000	0	540000	0	0	0	0	辦理原住民家庭、親職及社會教育推廣活動等相關經費。									0	272	122	0	0014	0	0	0		洪周濨慧		1050510	BGT
2-9-15	1	02112		105	02112	1	133902008		0232	001			0	0		年	1		0		0		0	1.00	423600	0	423600	0	0	0	0	進用凱達格蘭文化館策展規劃人員1名酬金。									0	292	122	0	0015	0	0	0		陸芃緁		1050510	BGT
2-9-15	1	02112		105	02112	1	133902008		0406	001			0	0		年	1		0		0		0	1.00	670000	0	670000	0	0	0	0	補助年滿3歲至入國小前之幼兒就托公私立案托兒所或幼兒（稚）園托育補助費。									0	417	122	0	0016	0	0	0		朱閔浩		1050510	BGT
2-9-15	1	02112		105	02112	1	133902008		0406	002			0	0		年	1		0		0		0	1.00	190000	0	190000	0	0	0	0	補助原住民急難救助。									0	426	122	0	0017	0	0	0		朱閔浩		1050510	BGT
2-9-15	1	02112		105	02112	1	133902008		0406	003			0	0		年	1		0		0		0	1.00	110000	0	110000	0	0	0	0	補助原住民弱勢家戶資訊服務計畫。									0	419	122	0	0018	0	0	0		朱閔浩		1050510	BGT
2-11-9	1	02121		105	02121	1	130101002		0107	004			0	0	1901	人	1	月	7	段	2		0	1.00×7.00×2.00	-630	0	-8820	0	0	0	0	員工上下班交通費。									1	125	113	0	0001	0	0	0		黃勝君		1050519	BGT
2-11-9	1	02121		105	02121	1	130101002		0107	005			0	0	1901	人	3	月	7	段	1		0	3.00×7.00×1.00	-630	0	-13230	0	0	0	0	員工上下班交通費。									1	125	113	0	0002	0	0	0		黃勝君		1050519	BGT
2-11-11	1	02121		105	02121	1	132801000		0104	002			0	0		年	1		0		0		0		-987130	0	-987130	0	0	0	0	職工-4人人事費(詳人事費分析表)。										112	113		0001	1							
2-11-11	1	02121		105	02121	1	132801000		0109	002			0	0		年	1		0		0		0		-91728	0	-91728	0	0	0	0	職工退休離職儲金(詳人事費分析表)。										138	113		0002	1							
2-11-11	1	02121		105	02121	1	132801000		0110	003			0	0		年	1		0		0		0		-45507	0	-45507	0	0	0	0	職員(工)健保費(詳人事費分析表)。										139	113		0003	1							
2-11-11	1	02121		105	02121	1	132801000		0110	004			0	0		年	1		0		0		0		-67970	0	-67970	0	0	0	0	職工勞保費(詳人事費分析表)。										144	113		0004	1							
2-12-7	1	02122		105	02122	1	130101002		0107	001			0	0	1901	人	-1	月	7	段	1		0	-1.00×7.00×1.00	630	0	-4410	0	317520	0	0	員工上下班交通費。									1	125	113	0	0001					蘇美瑾		1050512	BGT
2-12-7	1	02122		105	02122	1	130101002		0107	002			0	0	1901	人	-3	月	7	段	2		0	-3.00×7.00×2.00	630	0	-26460	0	1496880	0	0	員工上下班交通費。									1	125	113	0	0002	0	0	0		蘇美瑾		1050512	BGT
2-12-9	1	02122		105	02122	1	132801001		0104	001			0	0		年	1		0		0		0		-1005248	0	-1005248	0	0	0	0	職工-4人人事費(詳人事費分析表)。										112	113		0001	1							
2-12-9	1	02122		105	02122	1	132801001		0109	001			0	0		年	1		0		0		0		-58464	0	-58464	0	0	0	0	職工退休離職儲金(詳人事費分析表)。										138	113		0002	1							
2-12-9	1	02122		105	02122	1	132801001		0110	001			0	0		年	1		0		0		0		-44156	0	-44156	0	0	0	0	職員(工)健保費(詳人事費分析表)。										139	113		0003	1							
2-12-9	1	02122		105	02122	1	132801001		0110	002			0	0		年	1		0		0		0		-69860	0	-69860	0	0	0	0	職工勞保費(詳人事費分析表)。										144	113		0004	1							
2-13-7	1	02123		105	02123	1	130101002		0107	001			0	0	1901	人	-4	月	7	段	1		0	-4.00×7.00×1.00	630	0	-17640	0	0	0	0	員工上下班交通費。									1	125	113	0	0001					吳孟倫		1050520	BGT
2-13-9	1	02123		105	02123	1	132801001		0104	001			0	0		年	1		0		0		0		-963900	0	-963900	0	0	0	0	職工-4人人事費(詳人事費分析表)。										112	113		0001	1							
2-13-9	1	02123		105	02123	1	132801001		0109	001			0	0		年	1		0		0		0		-72800	0	-72800	0	0	0	0	職工退休離職儲金(詳人事費分析表)。										138	113		0002	1							
2-13-9	1	02123		105	02123	1	132801001		0110	001			0	0		年	1		0		0		0		-33075	0	-33075	0	0	0	0	職員(工)健保費(詳人事費分析表)。										139	113		0003	1							
2-13-9	1	02123		105	02123	1	132801001		0110	002			0	0		年	1		0		0		0		-65247	0	-65247	0	0	0	0	職工勞保費(詳人事費分析表)。										144	113		0004	1							
2-14-7	1	02124		105	02124	1	132801001		0104	001			0	0		年	1		0		0		0	1.00	-896100	0	-896100	0	0	0	0	職工5人人事費(詳人事費分析表)。										112	113	0	0001	1						1050517	
2-14-7	1	02124		105	02124	1	132801001		0109	001			0	0		年	1		0		0		0		-64960	0	-64960	0	0	0	0	職工退休離職儲金(詳人事費分析表)。										138	113		0002	1							
2-14-7	1	02124		105	02124	1	132801001		0110	001			0	0		年	1		0		0		0		-38752	0	-38752	0	0	0	0	職員(工)健保費(詳人事費分析表)。										139	113		0003	1							
2-14-7	1	02124		105	02124	1	132801001		0110	002			0	0		年	1		0		0		0		-58212	0	-58212	0	0	0	0	職工勞保費(詳人事費分析表)。										144	113		0004	1							
2-15-7	1	02125		105	02125	1	130101002		0107	001			0	0	1901	人	-2	月	7	段	1		0	-2.00×7.00×1.00	630	0	-8820	0	340200	0	0	員工上下班交通費。								覈實減列移撥至公園處之人事費	1	125	113	0	0001					黃錦盛		1050517	BGT
2-15-9	1	02125		105	02125	1	132801001		0104	001			0	0		年	1		0		0		0	1.00	-240700	0	-240700	0	519200	0	0	職工-2人人事費(詳人事費分析表)。								覈實減列移撥至公園處之人事費		112	113	0	0001	1				黃錦盛		1050519	
2-15-9	1	02125		105	02125	1	132801001		0109	001			0	0		年	1		0		0		0	1.00	-18480	0	-18480	0	34160	0	0	職工退休離職儲金(詳人事費分析表)。								覈實減列移撥至公園處之人事費		138	113	0	0002	1				黃錦盛		1050517	
2-15-9	1	02125		105	02125	1	132801001		0110	001			0	0		年	1		0		0		0	1.00	-11025	0	-11025	0	2586243	0	0	職員(工)健保費(詳人事費分析表)。								覈實減列移撥至公園處之人事費		139	113	0	0003	1				黃錦盛		1050517	
2-15-9	1	02125		105	02125	1	132801001		0110	002			0	0		年	1		0		0		0	1.00	-16562	0	-16562	0	30615	0	0	職工勞保費(詳人事費分析表)。								覈實減列移撥至公園處之人事費		144	113	0	0004	1				黃錦盛		1050517	
2-16-7	1	02126		105	02126	1	130101001		0104	001			0	0		年	1		0		0		0		-241792	0	-241792	0	0	0	0	職工-1人人事費(詳人事費分析表)。										112	113		0001	1							
2-16-7	1	02126		105	02126	1	130101001		0109	001			0	0		年	1		0		0		0		-17920	0	-17920	0	0	0	0	職工退休離職儲金(詳人事費分析表)。										138	113		0002	1							
2-16-7	1	02126		105	02126	1	130101001		0110	001			0	0		年	1		0		0		0		-10689	0	-10689	0	0	0	0	職員(工)健保費(詳人事費分析表)。										139	113		0003	1							
2-16-7	1	02126		105	02126	1	130101001		0110	002			0	0		年	1		0		0		0		-16058	0	-16058	0	0	0	0	職工勞保費(詳人事費分析表)。										144	113		0004	1							
2-16-7	1	02126		105	02126	1	130101002		0107	001			0	0		人	1	月	7	段	1		0	1.00×7.00×1.00	-630	0	-4410	0	0	0	0	員工上下班交通費。										125	113	0	0005							1050519	BGT
2-18-11	1	02128		105	02128	1	130101020		0107	001			0	0	1901	人	-3	月	7	段	1		0	-3.00×7.00×1.00	630	0	-13230	0	0	0	0	員工上下班交通費。									1	125	113	0	0001							1050519	BGT
2-18-13	1	02128		105	02128	1	132801010		0104	001			0	0		年	1		0		0		0		-721338	0	-721338	0	0	0	0	職工-3人人事費(詳人事費分析表)。										112	113		0001	1							
2-18-13	1	02128		105	02128	1	132801010		0109	001			0	0		年	1		0		0		0		-34285	0	-34285	0	0	0	0	職工退休離職儲金(詳人事費分析表)。										138	113		0002	1							
2-18-13	1	02128		105	02128	1	132801010		0110	001			0	0		年	1		0		0		0		-32166	0	-32166	0	0	0	0	職員(工)健保費(詳人事費分析表)。										139	113		0003	1							
2-18-13	1	02128		105	02128	1	132801010		0110	002			0	0		年	1		0		0		0		-50604	0	-50604	0	0	0	0	職工勞保費(詳人事費分析表)。										144	113		0004	1							
2-18-15	1	02128		105	02128	1	133902021		0214	001	'		0	0		人次	10		0		0		0	10.00	2000	0	20000	0	0	0	0	社區營造推動之建置運作相關出席費及審查費。										240	230	0	0001	0	0	0		周香汝		1050526	BGT
2-18-15	1	02128		105	02128	1	133902021		0216	001			0	0		式	1		0		0		0	1.00	400000	0	400000	0	0	0	0	復興景美文化軸帶尋找新人文渡口計畫			經費明細如下：			¶1.人事費用60,000元。			¶2.辦理研習講座、參訪活動等費用340,000元。										254	230	0	0002	0	0	0		周香汝		1050526	BGT
2-18-15	1	02128		105	02128	1	133902021		0220	001			0	0		年	1		0		0		0	1.00	7000	0	7000	0	0	0	0	社區營造推動之建置運作文具用品及雜費等。。										272	230	0	0003	0	0	0		周香汝		1050526	BGT
2-19-11	1	02129		105	02129	1	130101002		0107	001			0	0	1901	人	-4	月	7	段	1		0	-4.00×7.00×1.00	630	0	-17640	0	0	0	0	員工上下班交通費。									1	125	113	0	0001					簡佳萍		1050518	BGT
2-19-13	1	02129		105	02129	1	132801001		0104	001			0	0		年	1		0		0		0	1.00	-956732	0	-956732	0	0	0	0	職工-4人人事費(詳人事費分析表)。										112	113	0	0001	1				李宜芬		1050518	
2-19-13	1	02129		105	02129	1	132801001		0109	001			0	0		年	1		0		0		0		-50960	0	-50960	0	0	0	0	職工退休離職儲金(詳人事費分析表)。										138	113		0002	1							
2-19-13	1	02129		105	02129	1	132801001		0110	001			0	0		年	1		0		0		0		-41538	0	-41538	0	0	0	0	職員(工)健保費(詳人事費分析表)。										139	113		0003	1							
2-19-13	1	02129		105	02129	1	132801001		0110	002			0	0		年	1		0		0		0		-47817	0	-47817	0	0	0	0	職工勞保費(詳人事費分析表)。										144	113		0004	1							
2-19-15	1	02129		105	02129	1	133902004		0224	001			0	0		年	1		0		0		0	1.00	2238800	0	2238800	0	0	0	0	汰換LED先進照明燈具費用。									0	281	122	0	0001	0	0	0				1050727	BGT
2-20-7	1	02130		105	02130	1	132801001		0104	001			0	0		年	1		0		0		0		-256154	0	-256154	0	0	0	0	職工-5人人事費(詳人事費分析表)。										112	113		0001	1							
2-20-7	1	02130		105	02130	1	132801001		0109	001			0	0		年	1		0		0		0		-73070	0	-73070	0	0	0	0	職工退休離職儲金(詳人事費分析表)。										138	113		0002	1							
2-20-7	1	02130		105	02130	1	132801001		0110	001			0	0		年	1		0		0		0		-79752	0	-79752	0	0	0	0	職員(工)健保費(詳人事費分析表)。										139	113		0003	1							
2-20-7	1	02130		105	02130	1	132801001		0110	002			0	0		年	1		0		0		0		-47911	0	-47911	0	0	0	0	職工勞保費(詳人事費分析表)。										144	113		0004	1							
2-21-7	1	02131		105	02131	1	130101001		0104	001			0	0		年	1		0		0		0		-254100	0	-254100	0	0	0	0	職工-1人人事費(詳人事費分析表)。										112	113		0001	1							
2-21-7	1	02131		105	02131	1	130101001		0109	001			0	0		年	1		0		0		0		-18480	0	-18480	0	0	0	0	職工退休離職儲金(詳人事費分析表)。										138	113		0002	1							
2-21-7	1	02131		105	02131	1	130101001		0110	001			0	0		年	1		0		0		0		-11025	0	-11025	0	0	0	0	職員(工)健保費(詳人事費分析表)。										139	113		0003	1							
2-21-7	1	02131		105	02131	1	130101001		0110	002			0	0		年	1		0		0		0		-16562	0	-16562	0	0	0	0	職工勞保費(詳人事費分析表)。										144	113		0004	1							
2-21-7	1	02131		105	02131	1	130101002		0107	001			0	0	1901	人	-3	月	7	段	1		0	-3.00×7.00×1.00	630	0	-13230	0	854280	0	0	員工上下班交通費。									1	125	113	0	0005					林憶珊		1050629	BGT
2-21-9	1	02131		105	02131	1	132801001		0104	001			0	0		年	1		0		0		0		-477400	0	-477400	0	0	0	0	職工-2人人事費(詳人事費分析表)。										112	113		0001	1							
2-21-9	1	02131		105	02131	1	132801001		0109	001			0	0		年	1		0		0		0		-34720	0	-34720	0	0	0	0	職工退休離職儲金(詳人事費分析表)。										138	113		0002	1							
2-21-9	1	02131		105	02131	1	132801001		0110	001			0	0		年	1		0		0		0		-20706	0	-20706	0	0	0	0	職員(工)健保費(詳人事費分析表)。										139	113		0003	1							
2-21-9	1	02131		105	02131	1	132801001		0110	002			0	0		年	1		0		0		0		-31122	0	-31122	0	0	0	0	職工勞保費(詳人事費分析表)。										144	113		0004	1							
2-22-11	1	02132		105	02132	1	130101002		0107	001			0	0		人	-1	月	7	段	1		0	-1.00×7.00×1.00	630	0	-4410	0	0	0	0	員工上下班交通費。										125	113	0	0001							1050519	BGT
2-22-13	1	02132		105	02132	1	132801001		0104	001			0	0		年	1		0		0		0		-238700	0	-238700	0	0	0	0	職工-1人人事費(詳人事費分析表)。										112	113		0001	1							
2-22-13	1	02132		105	02132	1	132801001		0109	001			0	0		年	1		0		0		0		-17360	0	-17360	0	0	0	0	職工退休離職儲金(詳人事費分析表)。										138	113		0002	1							
2-22-13	1	02132		105	02132	1	132801001		0110	001			0	0		年	1		0		0		0		-10353	0	-10353	0	0	0	0	職員(工)健保費(詳人事費分析表)。										139	113		0003	1							
2-22-13	1	02132		105	02132	1	132801001		0110	002			0	0		年	1		0		0		0		-15561	0	-15561	0	0	0	0	職工勞保費(詳人事費分析表)。										144	113		0004	1							
2-22-13	1	02132		105	02132	1	132801008		0220	001			0	0		年	1		0		0		0	1.00	540000	0	540000	0	0	0	0	推動地方文化產業發展活動(台電公司促協金補助本府105年度)。								台電公司輸變電促協金(運轉中)		272	122	0	0005							1050524	BGT
3-1-9	1	03101		105	03101	1	133902001		0220	001	'		0	0		式	1		0		0		0	1.00	1600000	0	1600000	0	0	0	0	支應「臺北燈節活動及服務系統(含各項硬體設施)整合執行規劃與委託服務」部分經費。										272	122	0	0001	0	0	0		何鴻明		1050512	BGT
